,GUID,ID,Verb,Conjugated,English,Greek Sentence,English Sentence,Tense,Person,Number
64,BPOpFQda15,4,αλλάζω,αλλάξατε,You changed,Αλλάξατε νούμερο τηλεφώνου;,Did you change your phone number?,Past Simple,2nd,Plural
65,ZApNM4TCbf,5,αλλάζω,άλλαξαν,They changed,Τα πράγματα άλλαξαν.,Things changed.,Past Simple,3rd,Plural
66,lh6GLSoiB4,6,αλλάζω,άλλαζα,I was changing,Άλλαζα ρούχα.,I was changing clothes.,Past Continuous,1st,Singular
67,CqNZdN7wzi,7,αλλάζω,άλλαζες,You were changing,Άλλαζες γνώμη;,Were you changing your mind?,Past Continuous,2nd,Singular
68,QnXuUWWoao,8,αλλάζω,άλλαζε,He/She/It was changing,Το αυτοκίνητο άλλαζε χρώμα.,The car was changing color.,Past Continuous,3rd,Singular
69,VS2RDQMUQN,9,αλλάζω,αλλάζαμε,We were changing,Αλλάζαμε τα σχέδια.,We were changing the plans.,Past Continuous,1st,Plural
70,EKWoJIqb6m,10,αλλάζω,αλλάζατε,You were changing,Αλλάζατε νούμερο τηλεφώνου;,Were you changing your phone number?,Past Continuous,2nd,Plural
71,W8Ur43er2y,11,αλλάζω,άλλαζαν,They were changing,Τα πράγματα άλλαζαν.,Things were changing.,Past Continuous,3rd,Plural
72,32wwlclCRW,12,αλλάζω,αλλάζω,I change,Αλλάζω ρούχα.,I change clothes.,Present,1st,Singular
73,agfhFr3vmt,13,αλλάζω,αλλάζεις,You change,Αλλάζεις γνώμη;,Do you change your mind?,Present,2nd,Singular
74,HMIuLXZB5n,14,αλλάζω,αλλάζει,He/She/It changes,Το αυτοκίνητο αλλάζει χρώμα.,The car changes color.,Present,3rd,Singular
75,MQ6oQBaRq0,15,αλλάζω,αλλάζουμε,We change,Αλλάζουμε τα σχέδια.,We change the plans.,Present,1st,Plural
76,mxgO7pMptZ,16,αλλάζω,αλλάζετε,You change,Αλλάζετε νούμερο τηλεφώνου;,Do you change your phone number?,Present,2nd,Plural
77,4UYYwcWhEa,17,αλλάζω,αλλάζουν,They change,Τα πράγματα αλλάζουν.,Things change.,Present,3rd,Plural
78,iRJfweVx3v,18,αλλάζω,θα αλλάζω,I will be changing,Θα αλλάζω ρούχα.,I will be changing clothes.,Future Continuous,1st,Singular
79,ggRH320H3n,19,αλλάζω,θα αλλάζεις,You will be changing,Θα αλλάζεις γνώμη;,Will you be changing your mind?,Future Continuous,2nd,Singular
80,tuZnje7Fw7,20,αλλάζω,θα αλλάζει,He/She/It will be changing,Το αυτοκίνητο θα αλλάζει χρώμα.,The car will be changing color.,Future Continuous,3rd,Singular
81,4nNllkPa1Q,21,αλλάζω,θα αλλάζουμε,We will be changing,Θα αλλάζουμε τα σχέδια.,We will be changing the plans.,Future Continuous,1st,Plural
82,gMMqkEOSjl,22,αλλάζω,θα αλλάζετε,You will be changing,Θα αλλάζετε νούμερο τηλεφώνου;,Will you be changing your phone number?,Future Continuous,2nd,Plural
83,9mMLkDU9QZ,23,αλλάζω,θα αλλάζουν,They will be changing,Τα πράγματα θα αλλάζουν.,Things will be changing.,Future Continuous,3rd,Plural
84,dLgGKzVTI2,24,αλλάζω,θα αλλάξω,I will change,Θα αλλάξω ρούχα.,I will change clothes.,Future Simple,1st,Singular
85,Mn4lFdOgSx,25,αλλάζω,θα αλλάξεις,You will change,Θα αλλάξεις γνώμη;,Will you change your mind?,Future Simple,2nd,Singular
86,0U7GDU8UlM,26,αλλάζω,θα αλλάξει,He/She/It will change,Το αυτοκίνητο θα αλλάξει χρώμα.,The car will change color.,Future Simple,3rd,Singular
87,lfBiwgkdwt,27,αλλάζω,θα αλλάξουμε,We will change,Θα αλλάξουμε τα σχέδια.,We will change the plans.,Future Simple,1st,Plural
88,2K7jGdCE6a,28,αλλάζω,θα αλλάξετε,You will change,Θα αλλάξετε νούμερο τηλεφώνου;,Will you change your phone number?,Future Simple,2nd,Plural
89,jTVaRLH6qt,29,αλλάζω,θα αλλάξουν,They will change,Τα πράγματα θα αλλάξουν.,Things will change.,Future Simple,3rd,Plural
90,jsrSwrIBH1,0,ανοίγω,άνοιξα,I opened,Άνοιξα την πόρτα.,I opened the door.,Past Simple,1st,Singular
91,qUM8W821zd,1,ανοίγω,άνοιξες,You opened,Άνοιξες το παράθυρο.,You opened the window.,Past Simple,2nd,Singular
92,5MJvUwbl2v,2,ανοίγω,άνοιξε,He/She/It opened,Το πουλί άνοιξε τα φτερά του.,The bird opened its wings.,Past Simple,3rd,Singular
93,Q4W9il2Rew,3,ανοίγω,ανοίξαμε,We opened,Ανοίξαμε τα δώρα.,We opened the presents.,Past Simple,1st,Plural
94,JrTnoIxklT,4,ανοίγω,ανοίξατε,You opened,Ανοίξατε την βαλίτσα σας;,Did you open your suitcase?,Past Simple,2nd,Plural
95,1PIHxxFvXw,5,ανοίγω,άνοιξαν,They opened,Τα παιδιά άνοιξαν τα μάτια τους.,The children opened their eyes.,Past Simple,3rd,Plural
96,PNFKZfwKiB,6,ανοίγω,άνοιγα,I was opening,Άνοιγα την πόρτα.,I was opening the door.,Past Continuous,1st,Singular
97,rG1pAXKNhD,7,ανοίγω,άνοιγες,You were opening,Άνοιγες το παράθυρο.,You were opening the window.,Past Continuous,2nd,Singular
98,Vc94DlmTcB,8,ανοίγω,άνοιγε,He/She/It was opening,Το πουλί άνοιγε τα φτερά του.,The bird was opening its wings.,Past Continuous,3rd,Singular
99,F4KheKgCDv,9,ανοίγω,ανοίγαμε,We were opening,Ανοίγαμε τα δώρα.,We were opening the presents.,Past Continuous,1st,Plural
100,L3PuJNzTLH,10,ανοίγω,ανοίγατε,You were opening,Ανοίγατε την βαλίτσα σας;,Were you opening your suitcase?,Past Continuous,2nd,Plural
101,oNbqZZtnYe,11,ανοίγω,άνοιγαν,They were opening,Τα παιδιά άνοιγαν τα μάτια τους.,The children were opening their eyes.,Past Continuous,3rd,Plural
102,JcxHXEVOXg,12,ανοίγω,ανοίγω,I open,Ανοίγω την πόρτα.,I open the door.,Present,1st,Singular
103,41JDH7tRz8,13,ανοίγω,ανοίγεις,You open,Ανοίγεις το παράθυρο.,You open the window.,Present,2nd,Singular
104,GBtPQXoKem,14,ανοίγω,ανοίγει,He/She/It opens,Το πουλί ανοίγει τα φτερά του.,The bird opens its wings.,Present,3rd,Singular
105,0DD7a0yIdO,15,ανοίγω,ανοίγουμε,We open,Ανοίγουμε τα δώρα.,We open the presents.,Present,1st,Plural
106,Oe91Eym0kQ,16,ανοίγω,ανοίγετε,You open,Ανοίγετε την βαλίτσα σας;,Do you open your suitcase?,Present,2nd,Plural
107,jYYPOlXI3L,17,ανοίγω,ανοίγουν,They open,Τα παιδιά ανοίγουν τα μάτια τους.,The children open their eyes.,Present,3rd,Plural
108,XguBtSImdk,18,ανοίγω,θα ανοίγω,I will be opening,Θα ανοίγω την πόρτα.,I will be opening the door.,Future Continuous,1st,Singular
109,cbhvtFLPsm,19,ανοίγω,θα ανοίγεις,You will be opening,Θα ανοίγεις το παράθυρο.,You will be opening the window.,Future Continuous,2nd,Singular
110,JqrhbkdJFd,20,ανοίγω,θα ανοίγει,He/She/It will be opening,Το πουλί θα ανοίγει τα φτερά του.,The bird will be opening its wings.,Future Continuous,3rd,Singular
111,uSsmtKRsTw,21,ανοίγω,θα ανοίγουμε,We will be opening,Θα ανοίγουμε τα δώρα.,We will be opening the presents.,Future Continuous,1st,Plural
112,5XhVhEkEcz,22,ανοίγω,θα ανοίγετε,You will be opening,Θα ανοίγετε την βαλίτσα σας;,Will you be opening your suitcase?,Future Continuous,2nd,Plural
113,LY7ncNoB52,23,ανοίγω,θα ανοίγουν,They will be opening,Τα παιδιά θα ανοίγουν τα μάτια τους.,The children will be opening their eyes.,Future Continuous,3rd,Plural
114,XUOYWVoCTF,24,ανοίγω,θα ανοίξω,I will open,Θα ανοίξω την πόρτα.,I will open the door.,Future Simple,1st,Singular
115,ju2TmKlsij,25,ανοίγω,θα ανοίξεις,You will open,Θα ανοίξεις το παράθυρο.,You will open the window.,Future Simple,2nd,Singular
116,vR4KKzNYiM,26,ανοίγω,θα ανοίξει,He/She/It will open,Το πουλί θα ανοίξει τα φτερά του.,The bird will open its wings.,Future Simple,3rd,Singular
117,fH4JEB7mXn,27,ανοίγω,θα ανοίξουμε,We will open,Θα ανοίξουμε τα δώρα.,We will open the presents.,Future Simple,1st,Plural
118,P6M3B81fzZ,28,ανοίγω,θα ανοίξετε,You will open,Θα ανοίξετε την βαλίτσα σας;,Will you open your suitcase?,Future Simple,2nd,Plural
119,rKQ79X1it9,29,ανοίγω,θα ανοίξουν,They will open,Τα παιδιά θα ανοίξουν τα μάτια τους.,The children will open their eyes.,Future Simple,3rd,Plural
120,y28ZfAWqs9,0,βάζω,έβαλα,I put,Έβαλα το βιβλίο στο τραπέζι.,I put the book on the table.,Past Simple,1st,Singular
121,ICCGNPtaqA,1,βάζω,έβαλες,You put,Έβαλες το βιβλίο στο τραπέζι;,You put the book on the table.,Past Simple,2nd,Singular
122,DEmLgDPIxp,2,βάζω,έβαλε,He/She/It put,Έβαλε το βιβλίο στο τραπέζι.,He/She/It put the book on the table.,Past Simple,3rd,Singular
123,MQd16Npnhc,3,βάζω,βάλαμε,We put,Βάλαμε το βιβλίο στο τραπέζι.,We put the book on the table.,Past Simple,1st,Plural
124,eLoIAlu9xN,4,βάζω,βάλατε,You put,Βάλατε το βιβλίο στο τραπέζι;,You put the book on the table.,Past Simple,2nd,Plural
125,chpDn0kt8Y,5,βάζω,έβαλαν,They put,Έβαλαν το βιβλίο στο τραπέζι.,They put the book on the table.,Past Simple,3rd,Plural
126,Kj0GhoKag1,6,βάζω,έβαζα,I was putting,Έβαζα το βιβλίο στο τραπέζι.,I was putting the book on the table.,Past Continuous,1st,Singular
127,kubGd04YJ0,7,βάζω,έβαλες,You were putting,Έβαλες το βιβλίο στο τραπέζι.,You were putting the book on the table.,Past Continuous,2nd,Singular
128,OfVgJOUVRD,8,βάζω,έβαλε,He/She/It was putting,Έβαλε το βιβλίο στο τραπέζι.,He/She/It was putting the book on the table.,Past Continuous,3rd,Singular
129,LmLNMibBt3,9,βάζω,βάζαμε,We were putting,Βάζαμε το βιβλίο στο τραπέζι.,We were putting the book on the table.,Past Continuous,1st,Plural
130,eGZio5iM3R,10,βάζω,βάζατε,You were putting,Βάζατε το βιβλίο στο τραπέζι.,You were putting the book on the table.,Past Continuous,2nd,Plural
131,4w57jnghZF,11,βάζω,έβαζαν,They were putting,Έβαζαν το βιβλίο στο τραπέζι.,They were putting the book on the table.,Past Continuous,3rd,Plural
132,ILp5v1ninm,12,βάζω,βάζω,I put,Βάζω το βιβλίο στο τραπέζι.,I put the book on the table.,Present,1st,Singular
133,8hkhSW4LDv,13,βάζω,βάζεις,You put,Βάζεις το βιβλίο στο τραπέζι;,You put the book on the table.,Present,2nd,Singular
134,feihChtLeK,14,βάζω,βάζει,He/She/It puts,Βάζει το βιβλίο στο τραπέζι.,He/She/It puts the book on the table.,Present,3rd,Singular
135,t3paa8BrJG,15,βάζω,βάζουμε,We put,Βάζουμε το βιβλίο στο τραπέζι.,We put the book on the table.,Present,1st,Plural
136,F1ZoKgX5hn,16,βάζω,βάτε,You put,Βάζετε το βιβλίο στο τραπέζι.,You put the book on the table.,Present,2nd,Plural
137,6ifR3VjM8m,17,βάζω,βάζουν,They put,Βάζουν το βιβλίο στο τραπέζι.,They put the book on the table.,Present,3rd,Plural
138,iURA75plsB,18,βάζω,θα βάζω,I will be putting,Θα βάζω το βιβλίο στο τραπέζι.,I will be putting the book on the table.,Future Continuous,1st,Singular
139,D7gmfBeIrw,19,βάζω,θα βάζεις,You will be putting,Θα βάζεις το βιβλίο στο τραπέζι.,You will be putting the book on the table.,Future Continuous,2nd,Singular
140,BCKkf15xu6,20,βάζω,θα βάζει,He/She/It will be putting,Θα βάζει το βιβλίο στο τραπέζι.,He/She/It will be putting the book on the table.,Future Continuous,3rd,Singular
141,UAdeDrQkbb,21,βάζω,θα βάζουμε,We will be putting,Θα βάζουμε το βιβλίο στο τραπέζι.,We will be putting the book on the table.,Future Continuous,1st,Plural
142,HQPhCLjGC8,22,βάζω,θα βάζετε,You will be putting,Θα βάζετε το βιβλίο στο τραπέζι.,You will be putting the book on the table.,Future Continuous,2nd,Plural
143,FHamCUqokf,23,βάζω,θα βάζουν,They will be putting,Θα βάζουν το βιβλίο στο τραπέζι.,They will be putting the book on the table.,Future Continuous,3rd,Plural
144,lXK6TDDm51,24,βάζω,θα βάλω,I will put,Θα βάλω το βιβλίο στο τραπέζι.,I will put the book on the table.,Future Simple,1st,Singular
145,aWaDnZ7ACL,25,βάζω,θα βάλεις,You will put,Θα βάλεις το βιβλίο στο τραπέζι.,You will put the book on the table.,Future Simple,2nd,Singular
146,ue3afOLWEY,26,βάζω,θα βάλει,He/She/It will put,Θα βάλει το βιβλίο στο τραπέζι.,He/She/It will put the book on the table.,Future Simple,3rd,Singular
147,QNiQF0rEbT,27,βάζω,θα βάλουμε,We will put,Θα βάλουμε το βιβλίο στο τραπέζι.,We will put the book on the table.,Future Simple,1st,Plural
148,BIkEebO5L5,28,βάζω,θα βάλετε,You will put,Θα βάλετε το βιβλίο στο τραπέζι.,You will put the book on the table.,Future Simple,2nd,Plural
149,UBiArPAlwX,29,βάζω,θα βάλουν,They will put,Θα βάλουν το βιβλίο στο τραπέζι.,They will put the book on the table.,Future Simple,3rd,Plural
150,jycLR4bEno,0,βρίσκω,βρήκα,I found,Βρήκα το βιβλίο.,I found the book.,Past Simple,1st,Singular
151,FbmDEhtzih,1,βρίσκω,βρήκες,You found,Βρήκες το βιβλίο.,You found the book.,Past Simple,2nd,Singular
152,cKlKmLptlI,2,βρίσκω,βρήκε,He/She/It found,Βρήκε το βιβλίο.,He/She/It found the book.,Past Simple,3rd,Singular
153,tSONqkBsQ7,3,βρίσκω,βρήκαμε,We found,Βρήκαμε το βιβλίο.,We found the book.,Past Simple,1st,Plural
154,tjoTR0ws8n,4,βρίσκω,βρήκατε,You found,Βρήκατε το βιβλίο.,You found the book.,Past Simple,2nd,Plural
155,gJpD7g48Yn,5,βρίσκω,βρήκαν,They found,Βρήκαν το βιβλίο.,They found the book.,Past Simple,3rd,Plural
156,seaZT7MU6l,6,βρίσκω,έβρισκα,I was finding,Έβρισκα το βιβλίο.,I was finding the book.,Past Continuous,1st,Singular
157,up0IqvTSFF,7,βρίσκω,έβρισκες,You were finding,Έβρισκες το βιβλίο.,You were finding the book.,Past Continuous,2nd,Singular
158,p6iEXYCGGD,8,βρίσκω,έβρισκε,He/She/It was finding,Έβρισκε το βιβλίο.,He/She/It was finding the book.,Past Continuous,3rd,Singular
159,0HuLtAAg4s,9,βρίσκω,εβρίσκαμε,We were finding,Εβρίσκαμε το βιβλίο.,We were finding the book.,Past Continuous,1st,Plural
160,2bwnLYlPoh,10,βρίσκω,εβρίσκατε,You were finding,Εβρίσκατε το βιβλίο.,You were finding the book.,Past Continuous,2nd,Plural
161,CQgxwYsOdf,11,βρίσκω,έβρισκαν,They were finding,Έβρισκαν το βιβλίο.,They were finding the book.,Past Continuous,3rd,Plural
162,el1oWprnBm,12,βρίσκω,βρίσκω,I find,Βρίσκω το βιβλίο.,I find the book.,Present,1st,Singular
163,884TKB813L,13,βρίσκω,βρίσκεις,You find,Βρίσκεις το βιβλίο.,You find the book.,Present,2nd,Singular
164,qaAfoBu3Ux,14,βρίσκω,βρίσκει,He/She/It finds,Βρίσκει το βιβλίο.,He/She/It finds the book.,Present,3rd,Singular
165,G7Q500xFbf,15,βρίσκω,βρίσκουμε,We find,Βρίσκουμε το βιβλίο.,We find the book.,Present,1st,Plural
166,JhxCr1udd9,16,βρίσκω,βρίσκετε,You find,Βρίσκετε το βιβλίο.,You find the book.,Present,2nd,Plural
167,7jWzaadVwp,17,βρίσκω,βρίσκουν,They find,Βρίσκουν το βιβλίο.,They find the book.,Present,3rd,Plural
168,0OpSvJUIrL,18,βρίσκω,θα βρίσκω,I will be finding,Θα βρίσκω το βιβλίο.,I will be finding the book.,Future Continuous,1st,Singular
169,nCbRVUPejl,19,βρίσκω,θα βρίσκεις,You will be finding,Θα βρίσκεις το βιβλίο.,You will be finding the book.,Future Continuous,2nd,Singular
170,mjuPkbNUIL,20,βρίσκω,θα βρίσκει,He/She/It will be finding,Θα βρίσκει το βιβλίο.,He/She/It will be finding the book.,Future Continuous,3rd,Singular
171,CpejP330ig,21,βρίσκω,θα βρίσκουμε,We will be finding,Θα βρίσκουμε το βιβλίο.,We will be finding the book.,Future Continuous,1st,Plural
172,5xitXDRcbw,22,βρίσκω,θα βρίσκετε,You will be finding,Θα βρίσκετε το βιβλίο.,You will be finding the book.,Future Continuous,2nd,Plural
173,XSP2Sh3g9m,23,βρίσκω,θα βρίσκουν,They will be finding,Θα βρίσκουν το βιβλίο.,They will be finding the book.,Future Continuous,3rd,Plural
174,jFlQOSyDVH,24,βρίσκω,θα βρω,I will find,Θα βρω το βιβλίο.,I will find the book.,Future Simple,1st,Singular
175,rELTaYk9Cw,25,βρίσκω,θα βρεις,You will find,Θα βρεις το βιβλίο.,You will find the book.,Future Simple,2nd,Singular
176,qgCpL96UM9,26,βρίσκω,θα βρει,He/She/It will find,Θα βρει το βιβλίο.,He/She/It will find the book.,Future Simple,3rd,Singular
177,GhWqohxHT9,27,βρίσκω,θα βρούμε,We will find,Θα βρούμε το βιβλίο.,We will find the book.,Future Simple,1st,Plural
178,hHDkO1qm9P,28,βρίσκω,θα βρείτε,You will find,Θα βρείτε το βιβλίο.,You will find the book.,Future Simple,2nd,Plural
179,CIqgEvT5Oe,29,βρίσκω,θα βρουν,They will find,Θα βρουν το βιβλίο.,They will find the book.,Future Simple,3rd,Plural
180,oHduYNyoyY,0,γράφω,έγραψα,I wrote,Έγραψα ένα γράμμα.,I wrote a letter.,Past Simple,1st,Singular
